date,description
2024-01-22,"Ayodhya Ram Mandir Consecration / Special holiday"
2024-01-26,"Republic Day"
2024-03-25,"Holi"
2024-04-14,"Dr. Ambedkar Jayanti / Mahavir Jayanti / Good Friday"
2024-04-17,"Ram Navami"
2024-04-21,"Good Friday (if applicable)"
2024-05-23,"Buddha Purnima"
2024-06-17,"Bakri Id / Eid ul-Adha"
2024-07-17,"Muharram"
2024-08-15,"Independence Day"
2024-10-02,"Gandhi Jayanti / Mahatma Gandhi birthday"
2024-11-01,"Diwali Laxmi Pujan"
2024-11-15,"Gurunanak Jayanti"
2024-12-25,"Christmas"
2025-01-26,"Republic Day"
2025-02-26,"Mahashivaratri"
2025-03-14,"Holi"
2025-03-31,"Id-ul-Fitr (Ramzan Id)"
2025-04-10,"Mahavir Jayanti"
2025-04-14,"Dr. Ambedkar Jayanti"
2025-04-18,"Good Friday"
2025-05-01,"Maharashtra Day"
2025-08-15,"Independence Day"
2025-08-27,"Ganesh Chaturthi"
2025-10-02,"Gandhi Jayanti / Mahatma Gandhi birthday"
2025-10-02,"Dussehra"
2025-10-20,"Diwali Laxmi Pujan"
2025-10-21,"Diwali (Balipratipada)"
2025-11-05,"Prakash Gurpurb Sri Guru Nanak Dev Ji"
2025-12-25,"Christmas"
2026-01-26,"Republic Day"
2026-03-03,"Holi (provisional)"
2026-03-20,"Id-ul-Fitr (provisional)"
2026-04-02,"Ram Navami (provisional)"
2026-04-03,"Good Friday (provisional)"
2026-04-14,"Dr. Ambedkar Jayanti / Mahavir Jayanti (provisional)"
2026-05-01,"Maharashtra Day"
2026-08-15,"Independence Day"
2026-10-02,"Gandhi Jayanti"
2026-11-09,"Diwali Laxmi Pujan (provisional)"
2026-11-25,"Gurunanak Jayanti (provisional)"
2026-12-25,"Christmas"
